"filename", "language", "TypeScript", "HTML", "SCSS", "vue", "PostCSS", "XML", "comment", "blank", "total"
"d:\HTML\vue3\vue-useProject\src\views\studio\components\StandardDpModal.vue", "vue", 0, 0, 0, 139, 0, 0, 0, 20, 159
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\ConfigDrawer.vue", "vue", 0, 0, 0, 181, 0, 0, 0, 28, 209
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\AlertPanel.vue", "vue", 0, 0, 0, 320, 0, 0, 0, 46, 366
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\I18nPanel.vue", "vue", 0, 0, 0, 455, 0, 0, 0, 71, 526
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\OtaPanel.vue", "vue", 0, 0, 0, 268, 0, 0, 0, 47, 315
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\ProvisioningPanel.vue", "vue", 0, 0, 0, 367, 0, 0, 0, 59, 426
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\ScenePanel.vue", "vue", 0, 0, 0, 488, 0, 0, 0, 69, 557
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\TimerPanel.vue", "vue", 0, 0, 0, 463, 0, 0, 0, 85, 548
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\alert\AlertRuleEditor.vue", "vue", 0, 0, 0, 473, 0, 0, 0, 67, 540
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\ota\FirmwarePublishModal.vue", "vue", 0, 0, 0, 374, 0, 0, 0, 59, 433
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\ota\OtaStrategyPanel.vue", "vue", 0, 0, 0, 221, 0, 0, 0, 35, 256
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\timer\TimerSandbox.vue", "vue", 0, 0, 0, 349, 0, 0, 0, 64, 413
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\timer\TimerStrategy.vue", "vue", 0, 0, 0, 219, 0, 0, 0, 36, 255
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\timer\components\DpSelectModal.vue", "vue", 0, 0, 0, 249, 0, 0, 0, 36, 285
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\timer\components\TaskTimeEditor.vue", "vue", 0, 0, 0, 152, 0, 0, 0, 24, 176
"d:\HTML\vue3\vue-useProject\src\views\studio\components\config\modules\timer\index.vue", "vue", 0, 0, 0, 173, 0, 0, 0, 29, 202
"d:\HTML\vue3\vue-useProject\src\views\studio\components\hardware\FirmwareManageDrawer.vue", "vue", 0, 0, 0, 691, 0, 0, 0, 101, 792
"d:\HTML\vue3\vue-useProject\src\views\studio\components\hardware\ModuleSelectDrawer.vue", "vue", 0, 0, 0, 230, 0, 0, 0, 38, 268
"d:\HTML\vue3\vue-useProject\src\views\studio\components\hardware\PinConfigModal.vue", "vue", 0, 0, 0, 437, 0, 0, 0, 59, 496
"d:\HTML\vue3\vue-useProject\src\views\studio\components\mobile\PanelButton.vue", "vue", 0, 0, 0, 26, 0, 0, 0, 3, 29
"d:\HTML\vue3\vue-useProject\src\views\studio\components\mobile\PanelDashboard.vue", "vue", 0, 0, 0, 88, 0, 0, 0, 13, 101
"d:\HTML\vue3\vue-useProject\src\views\studio\components\mobile\PanelEnumSelector.vue", "vue", 0, 0, 0, 133, 0, 0, 0, 19, 152
"d:\HTML\vue3\vue-useProject\src\views\studio\components\mobile\PanelSlider.vue", "vue", 0, 0, 0, 84, 0, 0, 0, 12, 96
"d:\HTML\vue3\vue-useProject\src\views\studio\components\mobile\PanelSwitch.vue", "vue", 0, 0, 0, 61, 0, 0, 0, 8, 69
"d:\HTML\vue3\vue-useProject\src\views\studio\components\mobile\PanelText.vue", "vue", 0, 0, 0, 43, 0, 0, 0, 7, 50
"d:\HTML\vue3\vue-useProject\src\views\studio\components\panel\PanelConfigForm.vue", "vue", 0, 0, 0, 188, 0, 0, 0, 24, 212
"d:\HTML\vue3\vue-useProject\src\views\studio\components\scene\ExecutionLogModal.vue", "vue", 0, 0, 0, 154, 0, 0, 0, 26, 180
"d:\HTML\vue3\vue-useProject\src\views\studio\components\scene\SceneDrawer.vue", "vue", 0, 0, 0, 332, 0, 0, 0, 43, 375
"d:\HTML\vue3\vue-useProject\src\views\system\SystemManagement.vue", "vue", 0, 0, 0, 85, 0, 0, 0, 14, 99
"d:\HTML\vue3\vue-useProject\src\views\首页样式.html", "HTML", 0, 464, 0, 0, 0, 0, 16, 49, 529
"d:\HTML\vue3\vue-useProject\src\侧边栏布局演示.html", "HTML", 0, 352, 0, 0, 0, 0, 0, 35, 387
"Total", "-", 4823, 816, 120, 24984, 576, 1, 1474, 4764, 37558
